district,area,bedrooms,garage,type,rent
Vila Polopoli,40,1,0,Apartamento,1300
Vila Andrade,83,2,2,Apartamento,3200
Jardim Parque Morumbi,68,3,1,Apartamento,2600
Vila Progredior,250,0,3,Casa,10000
Vila Gomes,15,1,0,Studio e kitnet,1150
Vila Andrade,104,3,2,Apartamento,7900
Jardim Maria Rosa,72,2,1,Apartamento,2600
Vila Andrade,200,3,3,Apartamento,8000
Vila Progredior,100,3,2,Apartamento,4500
Jardim Morumbi,411,4,2,Casa,8000
Vila Andrade,130,3,2,Apartamento,2040
Vila Andrade,220,3,4,Apartamento,7350
Vila Andrade,234,4,5,Apartamento,4000
Jardim Maria Rosa,206,4,2,Casa,3040
Vila Antonio,60,2,1,Apartamento,1700
Jardim Parque Morumbi,64,2,1,Apartamento,1955
Vila Andrade,132,3,3,Apartamento,7650
Jardim Lucia,30,2,0,Studio e kitnet,860
Jardim Lucia,30,1,0,Studio e kitnet,805
Parque Esmeralda,70,3,2,Apartamento,3470
Vila Andrade,340,4,5,Apartamento,3900
Vila Andrade,84,2,1,Apartamento,2400
Vila Andrade,67,2,1,Apartamento,3650
Vila Suzana,205,4,5,Apartamento,12180
Vila Andrade,126,3,2,Apartamento,3500
Vila Albertina,140,3,0,Casa,2160
Vila Sao Vicente,142,3,3,Apartamento,4840
Vila Sao Vicente,200,3,4,Casa,4200
Vila Albertina,270,3,5,Casa,3980
Nossa Senhora do Ó,89,3,2,Apartamento,3500
Freguesia do Ó,100,3,2,Casa,3800
Vila Albertina,250,2,3,Casa,4500
Moinho Velho,90,3,1,Apartamento,1650
Vila Albertina,37,1,0,Apartamento,1700
Nossa Senhora do O,74,3,1,Apartamento,2600
Vila Albertina,107,3,2,Apartamento,9900
Freguesia do Ó,110,3,3,Apartamento,11000
Vila Arcadia,150,2,1,Casa,2360
Freguesia do Ó,56,2,1,Apartamento,1900
Vila São Vicente,83,2,1,Apartamento,1800
Vila Palmeiras,150,3,2,Casa,4100
Vila Palmeiras,57,2,1,Apartamento,1370
Freguesia do Ó ,60,1,0,Casa em condomínio,1235
Moinho Velho,170,3,4,Casa,3100
Nossa Senhora do O,100,3,0,Casa,1900
Vila Palmeiras,90,2,1,Casa,2010
Vila Palmeiras,100,2,1,Casa,1800
Parque Monteiro Soares,210,3,3,Casa,6000
Moinho Velho,160,2,1,Casa,2720
Vila Cavaton,230,3,4,Casa,3900
Vila União,180,4,2,Casa,3200
Vila Arcádia,180,2,0,Casa,2150
Vila Cavaton,270,3,3,Casa,6500
Jardim das Graças,41,2,0,Apartamento,1995
Moinho Velho,110,3,1,Apartamento,2125
Moinho Velho,240,2,2,Casa,4300
Vila Carolina,170,3,2,Casa,2700
Moinho Velho,200,3,1,Casa,2560
Vila Brasilandia,320,4,2,Casa,8000
Piqueri,140,3,0,Casa,2965
Itaberaba,180,2,2,Casa,3000
Vila Carolina,145,3,4,Casa,6000
Moinho Velho,196,2,2,Casa,3000
Bela Aliança ,130,3,2,Casa,3750
Piqueri,70,1,0,Casa,1228
Vila Carbone,120,3,1,Casa,2720
Itaberaba,155,2,1,Casa,2200
Moinho Velho,110,2,2,Casa,3345
Vila Pereira Cerca,250,3,6,Casa,5250
Piqueri,78,2,1,Apartamento,2290
Vila Carbone,52,1,0,Casa,1100
Água Branca,43,2,1,Apartamento,2100
Vila Bruna,180,2,1,Casa,2300
Vila Palmeiras,480,5,2,Casa,4300
Freguesia do Ó,40,1,0,Apartamento,1500
Freguesia do Ó,24,1,0,Apartamento,1100
Vila Cruz das Almas,150,3,2,Casa,3630
Piqueri,90,3,0,Casa,1500
Jardim Peri,280,5,2,Casa,4200
Vila Carbone,150,3,2,Casa,2830
Itaberaba,73,2,1,Apartamento,3200
Vila Picinin,70,1,0,Casa,1400
Vila Amélia,84,3,1,Apartamento,2400
Vila Picinin,150,3,1,Casa,1800
Itaberaba,150,3,2,Casa,3500
Vila Bruna,175,3,3,Casa,3740
Limão,90,2,0,Apartamento,1940
Vila Iório,50,1,0,Casa,900
Vila Amélia,70,3,1,Apartamento,2250
Piqueri,250,2,2,Casa,3800
Piqueri,150,3,2,Casa,4500
Vila Palmeiras,120,3,3,Casa,2600
Vila Palmeiras,133,3,3,Casa,4000
Água Branca,100,3,2,Apartamento,7000
Água Branca,58,2,1,Apartamento,3450
Vila Palmeiras,134,3,1,Casa,2650
Vila Cruz das Almas,94,3,2,Casa,4800
Vila Bruna,47,2,1,Apartamento,1785
Limão,87,3,1,Apartamento,2200
Lapa de Baixo,380,4,2,Casa,3050
Vila Santa Maria,216,3,2,Casa,3200
Vila Marina,58,2,1,Apartamento,1500
Freguesia do Ó,80,3,1,Apartamento,1500
Vila Siqueira (zona Norte),70,2,0,Apartamento,2480
Parque São Luís,150,3,3,Casa,6000
Limão,77,2,1,Apartamento,2400
Vila Marina,220,3,2,Casa,3000
Parque Mandi,100,1,0,Casa,1115
Vila Marina,180,3,2,Casa,4125
Lapa de Baixo,270,6,0,Casa,5625
Vila Cruz das Almas,273,3,6,Casa,4000
Jardim Mariliza,78,3,2,Apartamento,5200
Parque Residencial da Lapa,70,2,0,Apartamento,2200
Vila Portuguesa,45,2,2,Apartamento,1700
Vila Pereira Cerca,56,2,2,Apartamento,3120
Lapa,98,2,3,Apartamento,7500
Lapa de Baixo,120,3,1,Casa,2850
Limão,152,2,0,Casa,2650
Parque Residencial da Lapa,140,4,2,Casa,5000
Vila Portuguesa,40,1,0,Casa,1300
Jardim Maristela,126,3,2,Casa,2960
Vila Marina,125,3,0,Casa,1800
Parque São Luís,200,2,1,Casa,2100
Lapa de Baixo,80,1,0,Casa,2000
Lapa,254,1,0,Apartamento,3750
Jardim Miriam,175,4,2,Casa,6999
Vila Santa Maria,90,2,1,Casa,2300
Vila Pereira Barreto,150,2,1,Casa,1300
Lapa,116,2,1,Apartamento,3750
Jardim Primavera (zona Norte),250,4,6,Casa,4109
Vila Marina,240,4,1,Casa,4500
Vila Bonilha,90,2,1,Casa,1700
Jardim Iris,76,3,1,Apartamento,3600
Freguesia do Ó,300,4,3,Casa,6350
Vila Santa Maria,184,2,2,Casa,5100
Vila Santa Maria,300,3,5,Casa,5800
Lapa,40,1,0,Studio e kitnet,2000
Jardim São Silvestre,50,1,0,Casa,900
Água Branca,29,1,0,Studio e kitnet,2290
Vila Romana,185,4,1,Casa,3850
Vila Brasilândia,73,3,2,Apartamento,2500
Lapa,162,4,3,Apartamento,8000
Lapa,166,3,3,Apartamento,11000
Vila Santa Maria,90,2,2,Casa,1900
Vila Santista,110,3,1,Casa,1500
Água Branca,42,1,0,Studio e kitnet,1100
Jardim Iris,66,3,2,Apartamento,5330
Pirituba,400,4,4,Casa,4900
Casa Verde Alta,185,5,2,Casa,3860
Vila Santa Maria,44,2,1,Apartamento,1650
Vila Santa Maria,42,2,1,Apartamento,1550
Água Branca,108,3,2,Apartamento,7500
Sítio do Morro,180,3,2,Casa,3160
Casa Verde Média,65,2,0,Apartamento,1415
Jardim do Tiro,45,1,0,Casa,782
Vila Pereira Barreto,68,3,1,Apartamento,1720
Água Branca,260,3,3,Apartamento,12000
Água Branca,70,2,1,Apartamento,3300
Jardim Maristela,180,1,0,Casa,800
Vila Bonilha,64,2,1,Apartamento,1200
Jardim Iris,60,2,1,Apartamento,2400
Água Branca,245,4,4,Apartamento,9000
Água Branca,45,1,1,Apartamento,3250
Limão,35,1,0,Studio e kitnet,900
Vila Romana,100,2,0,Casa,2500
Jardim Íris,64,3,1,Apartamento,2820
Água Branca,200,3,2,Casa,6300
Lapa,85,3,0,Casa,3520
Limão,200,2,3,Casa,2240
Pompeia,180,3,6,Casa,6000
Vila Romana,105,2,0,Casa,4417
Água Branca,70,2,0,Apartamento,2200
Casa Verde Alta,170,3,2,Casa,3200
Casa Verde Alta,50,1,0,Casa,1100
Jardim Cachoeira,200,3,5,Casa,3900
Parque Industrial Tomas Edson,47,0,1,Apartamento,2330
Vila Romana,60,2,1,Apartamento,3600
Sítio do Morro,70,2,2,Apartamento,2400
Lapa,210,3,2,Apartamento,3940
Água Branca,110,3,1,Casa,5000
Vila Hermínia,210,3,4,Casa,4000
Vila Barreto,69,2,1,Apartamento,2400
Barra Funda,66,2,1,Apartamento,3144
Vila Anglo Brasileira,217,3,4,Casa,14060
Lapa,75,2,0,Apartamento,2400
Lapa,120,2,0,Casa,3280
Vila Pereira Barreto,104,3,0,Apartamento,4000
Sítio Morro Grande,170,2,2,Casa,5500
Sítio do Morro,28,1,0,Apartamento,750
Lapa,200,2,0,Apartamento,2500
Jardim Iris,68,3,1,Apartamento,3100
Jardim Cachoeira,160,3,2,Casa,2730
Alto da Lapa,297,4,6,Casa,10480
Jardim Íris,47,2,0,Apartamento,1600
Casa Verde,75,1,0,Apartamento,2700
Casa Verde Alta,372,3,5,Casa,11250
Vila Pompéia,172,4,1,Casa,6400
Jardim Cachoeira,250,3,0,Casa,2100
Vila Romana,70,2,1,Apartamento,7700
Vila Pompéia,120,4,0,Casa,4840
Vila Pereira Barreto,110,3,2,Apartamento,2400
Sítio Morro Grande,270,6,5,Casa,3600
Jardim Almanara,110,1,1,Casa,1500
Vila Romana,172,4,3,Apartamento,8130
Vila Fiat Lux,200,3,2,Casa,7000
Vila Romana,141,3,2,Apartamento,8500
Lapa,220,4,3,Apartamento,5500
Casa Verde Alta,284,5,3,Casa,6090
Jardim Íris,50,1,1,Apartamento,2500
Vila Pompéia,143,4,2,Casa,4999
Vila Romana,172,3,4,Apartamento,14000
Jardim Peri,200,3,1,Casa,7170
Lapa,88,1,1,Casa,3500
Sítio Morro Grande,82,2,1,Apartamento,1200
Vila Fiat Lux,235,4,2,Casa,6000
Lapa,60,2,0,Casa,2450
Sítio Morro Grande,143,3,4,Casa,3200
Vila Romana,240,5,4,Casa,8750
Vila Romana,150,3,1,Casa,7650
Perdizes,105,2,1,Apartamento,3500
Jardim Felicidade (zona Oeste),156,2,1,Casa,4500
Alto da Lapa,200,3,4,Apartamento,15000
Casa Verde Alta,63,1,0,Apartamento,927
Vila Romana,350,3,5,Casa,11250
Pompeia,100,3,2,Apartamento,7200
Jardim Felicidade (zona Oeste),60,1,1,Casa,2400
Vila Romana,150,2,1,Casa,4950
Água Branca,168,3,3,Apartamento,12000
Pompeia,109,3,2,Apartamento,6500
Alto da Lapa,150,4,2,Casa,10000
Chácara Inglesa,90,2,0,Casa,1895
Jardim das Laranjeiras,285,3,4,Casa,4875
Chácara Inglesa,125,1,1,Casa,1890
Vila Anastácio,180,3,2,Casa,5499
Alto da Lapa,123,3,2,Apartamento,3195
Vila Pompéia,76,2,2,Apartamento,7500
Jardim das Laranjeiras,70,2,1,Apartamento,2700
Chácara Inglesa,95,2,0,Casa,1200
Pompeia,240,5,2,Casa,5600
Vila Pompéia,160,3,4,Casa,6300
Lapa,390,4,4,Casa,10500
Barra Funda,26,1,0,Apartamento,1400
Jardim das Laranjeiras,96,4,1,Apartamento,2790
Vila Romana,96,2,1,Apartamento,2400
Jardim das Laranjeiras,47,2,1,Apartamento,1650
Jardim das Laranjeiras,394,4,6,Casa,7800
Vila Anglo Brasileira,400,3,4,Casa,8800
Barra Funda,69,2,1,Apartamento,3940
Vila Ipojuca,90,3,0,Casa,2500
Vila Zat,205,3,5,Casa,4200
Alto da Lapa,85,1,3,Casa,2000
Vila Pompéia,52,1,1,Apartamento,4400
Pompeia,133,3,1,Apartamento,5000
Siciliano,260,4,2,Casa,4000
Jardim Cidade Pirituba,170,3,2,Casa,5500
Jardim Cidade Pirituba,60,2,0,Casa,1580
Jardim Cidade Pirituba,70,2,0,Casa,1580
Siciliano,132,3,3,Apartamento,10600
Perdizes,144,3,3,Apartamento,7600
Vila Romana,87,3,2,Apartamento,3000
Lapa,365,5,3,Casa,9500
Sítio Morro Grande,172,3,4,Casa,3975
Lapa,312,5,3,Casa,10000
Água Branca,103,3,1,Apartamento,4500
Pompeia,340,4,3,Apartamento,13600
Pompeia,126,3,1,Apartamento,5250
Vila Mariana,75,2,1,Apartamento,3000
Vila Mariana,130,3,1,Apartamento,6000
Vila Mariana,100,2,0,Casa,2350
Vila Mariana,50,2,1,Apartamento,4725
Paraíso,130,3,1,Apartamento,12950
Vila Mariana,150,3,0,Casa,9000
Vila Mariana,98,2,2,Apartamento,11420
Vila Mariana,280,4,4,Apartamento,5000
Paraíso,210,4,3,Apartamento,11000
Vila Mariana,160,3,1,Apartamento,8530
Paraíso,280,3,4,Apartamento,11250
Paraíso,374,4,4,Apartamento,12660
Vila Mariana,137,3,1,Apartamento,5600
Paraíso,42,1,1,Apartamento,2320
Paraíso,97,2,1,Apartamento,4000
Vila Mariana,173,4,2,Apartamento,6100
Vila Mariana,125,2,2,Apartamento,6560
Vila Mariana,190,3,3,Casa,6750
Vila Mariana,145,3,3,Apartamento,3646
Vila Mariana,95,3,1,Apartamento,5625
Paraíso,50,2,1,Apartamento,3100
Vila Mariana,76,2,1,Apartamento,2384
Vila Mariana,100,2,2,Apartamento,5500
Paraíso,55,1,1,Apartamento,4500
Vila Mariana,130,3,2,Apartamento,3000
Paraíso,145,2,1,Apartamento,3350
Vila Mariana,152,6,1,Casa,6000
Paraíso.,100,2,1,Apartamento,3100
Paraíso,200,4,3,Apartamento,7500
Paraíso,300,4,3,Apartamento,15000
Paraíso,304,4,3,Apartamento,11250
Paraíso,160,3,2,Casa,5810
Vila Mariana,310,3,3,Apartamento,9000
Vila Mariana,125,3,1,Apartamento,7000
Paraíso,220,4,3,Apartamento,11000
Paraíso,201,3,4,Apartamento,7850
Vila Mariana,220,2,3,Apartamento,15000
Vila Mariana,180,2,3,Apartamento,9190
Paraíso,100,3,1,Apartamento,12000
Paraíso,240,3,4,Apartamento,15000
Vila Mariana,179,2,0,Apartamento,3200
Paraíso,168,4,3,Apartamento,12500
Paraíso,135,2,3,Apartamento,14500
Vila Mariana,47,1,1,Apartamento,3170
Paraíso,350,3,1,Casa,12880
Paraíso,40,1,2,Apartamento,1904
Paraíso,147,3,0,Apartamento,6000
Vila Mariana,72,2,0,Apartamento,3040
Vila Mariana,370,2,4,Casa,7500
Paraíso,125,3,3,Apartamento,9000
Paraíso,228,4,3,Apartamento,8500
Vila Mariana,160,3,2,Apartamento,8625
Paraíso,200,2,1,Apartamento,5328
Paraíso,193,4,1,Apartamento,6500
Vila Mariana,145,4,1,Casa,5700
Vila Mariana,200,3,2,Casa,11250
Paraíso,230,5,3,Apartamento,12800
Vila Mariana,179,4,0,Apartamento,4725
Vila Mariana,88,2,0,Apartamento,2810
Vila Mariana,110,3,1,Apartamento,3100
Vila Mariana,80,3,0,Apartamento,2000
Paraíso,127,2,1,Apartamento,4000
Paraíso,105,2,1,Apartamento,4080
Vila Mariana,145,4,2,Apartamento,6350
Vila Mariana,136,3,2,Apartamento,13000
Paraíso,66,2,1,Apartamento,10000
Vila Mariana,25,1,0,Studio e kitnet,4350
Vila Mariana,120,2,0,Apartamento,3500
Vila Mariana,71,2,1,Apartamento,6500
Paraíso,106,2,2,Apartamento,14000
Vila Mariana,350,4,2,Casa,6000
Paraíso,140,3,2,Apartamento,6970
Paraíso,254,3,3,Apartamento,8000
Vila Mariana,60,1,1,Casa,2100
Paraíso,75,2,1,Apartamento,2550
Vila Mariana,76,3,1,Apartamento,3500
Vila Mariana,100,3,2,Apartamento,11500
Vila Mariana,60,2,2,Apartamento,4500
Vila Mariana,50,2,1,Apartamento,3590
Paraíso,65,2,2,Apartamento,4540
Vila Nova Conceição,18,1,0,Studio e kitnet,3160
Vila Nova Conceição,85,2,1,Apartamento,9900
Vila Nova Conceição,100,4,1,Apartamento,5850
Vila Nova Conceição,42,1,1,Apartamento,7300
Vila Nova Conceição,127,3,1,Apartamento,5625
Vila Nova Conceição,42,1,0,Apartamento,2958
Vila Nova Conceição,47,1,0,Apartamento,3708
Vila Nova Conceição,161,3,2,Apartamento,14000
Vila Nova Conceição,210,4,4,Apartamento,13000
Vila Nova Conceição,35,1,1,Apartamento,2092
Vila Nova Conceição,132,3,2,Casa,7880
Vila Nova Conceição,70,1,1,Apartamento,5200
Vila Nova Conceição,61,2,1,Apartamento,4000
Vila Nova Conceição,45,1,1,Apartamento,4550
Vila Nova Conceição,158,4,3,Apartamento,12000
Vila Nova Conceição,96,2,1,Apartamento,3500
Vila Nova Conceição,42,1,1,Apartamento,3900
Itaim Bibi,40,1,1,Apartamento,4900
Vila Nova Conceição,47,1,1,Apartamento,9800
Vila Olímpia,65,2,1,Apartamento,3760
Itaim Bibi,81,3,1,Apartamento,3700
Vila Nova Conceição,128,2,2,Apartamento,11640
Vila Olímpia,150,4,2,Apartamento,12000
Itaim Bibi,136,3,1,Apartamento,5900
Vila Nova Conceição,172,3,2,Apartamento,11480
Vila Nova Conceição,107,1,1,Apartamento,5850
Vila Nova Conceição,26,1,0,Studio e kitnet,3410
Vila Nova Conceição,46,1,1,Apartamento,3412
Vila Nova Conceição,82,2,1,Apartamento,9500
Vila Nova Conceição,100,3,1,Apartamento,4999
Vila Nova Conceição,78,2,1,Apartamento,4200
Vila Olímpia,96,2,1,Apartamento,4038
Vila Olímpia,76,2,1,Apartamento,3300
Vila Nova Conceição,108,3,1,Apartamento,3713
Vila Nova Conceição,161,3,4,Apartamento,15000
Vila Nova Conceição,76,2,1,Apartamento,5000
Vila Nova Conceição,77,2,1,Apartamento,3300
Vila Nova Conceição,38,1,1,Apartamento,2500
Moema,165,4,2,Casa,12000
Vila Olímpia,32,1,1,Studio e kitnet,4999
Itaim Bibi,125,2,3,Apartamento,15000
Vila Nova Conceição,50,1,1,Apartamento,4650
Vila Nova Conceição,26,1,0,Apartamento,4850
Vila Nova Conceição,138,3,2,Apartamento,14530
Itaim Bibi,151,3,3,Apartamento,13500
Vila Nova Conceição,169,3,3,Apartamento,13500
Vila Nova Conceição,250,2,3,Casa,7600
Chácara Monte Alegre,269,3,4,Casa,15000
Chácara Monte Alegre,250,4,2,Casa,10000
Chácara Monte Alegre,359,4,4,Casa,12000
Chácara Monte Alegre,450,4,3,Casa,8000
Chácara Monte Alegre,250,3,3,Casa,5890
Santo Amaro,380,4,4,Casa,11250
Jardim dos Estados,1,4,3,Casa em condomínio,8500
Santo Amaro,160,3,2,Casa,3150
Brooklin Paulista,220,4,2,Casa,6500
Santo Amaro,463,4,5,Casa,11250
Chácara Monte Alegre,532,6,4,Casa,15000
Brooklin Paulista,200,3,2,Casa,10000
Vila Nova Caledônia,332,4,4,Casa,7800
Chácara Monte Alegre,500,4,6,Casa,11250
Vila Nova Caledonia,250,4,5,Casa em condomínio,10000
Vila Nova Caledonia,270,4,3,Casa em condomínio,12000
Jardim Cordeiro,400,3,4,Casa,11250
Vila Nova Caledonia,115,3,2,Casa,4500
Vila Santa Catarina,93,3,3,Apartamento,5980
Vila Santa Catarina,136,3,2,Apartamento,6964
Vila Santa Catarina,302,4,3,Casa,6250
Jardim dos Estados,365,3,4,Casa,15000
Jardim dos Estados,365,4,4,Casa,11250
Vila Santa Catarina,30,1,1,Apartamento,3290
Vila Santa Catarina,103,3,2,Apartamento,4200
Jardim Prudência,315,4,5,Casa,8400
Santo Amaro,310,3,3,Apartamento,13000
Vila Santa Catarina,80,2,1,Apartamento,5500
Vila Santa Catarina,78,2,1,Apartamento,3370
Jardim Prudência,150,1,1,Apartamento,1430
Jardim Prudência,116,2,2,Apartamento,4120
Brooklin Paulista,377,4,5,Casa,12500
Santo Amaro,450,4,4,Casa,15000
Jardim Petropolis,250,5,3,Casa,6500
Vila Santa Catarina,77,3,1,Apartamento,1550
Jardim Umuarama,100,3,2,Apartamento,2754
Campo Belo,500,5,4,Casa,14000
Jardim Los Angeles,500,3,5,Casa,2500
Jardim Marajoara,450,5,3,Casa,11380
Jardim Petropolis,415,4,6,Casa,11250
Jardim Prudência,223,4,2,Casa,4610
Jardim Marajoara,400,6,5,Casa,15000
Santo Amaro,418,5,3,Casa,15000
Jardim Marajoara,150,3,6,Casa,6075
Jardim Marajoara,270,3,4,Casa,10500
Jardim Prudência,170,3,1,Casa,2910
Jardim Umuarama,260,3,4,Casa,4200
Campo Belo,482,4,4,Casa,11250
Brooklin Paulista,400,4,4,Casa em condomínio,14000
Vila Santa Catarina,160,3,1,Casa,6500
Jardim Umuarama,140,3,2,Casa,3930
Vila Sao Paulo,193,4,2,Casa,3750
Jardim Marajoara,116,4,2,Apartamento,4000
Jardim Marajoara,450,3,6,Casa,11250
Santo Amaro,40,1,1,Apartamento,3600
Jardim Marajoara,500,4,2,Casa,8500
Santo Amaro,329,4,4,Apartamento,15000
Santo Amaro,295,4,3,Apartamento,11000
Santo Amaro,329,4,3,Apartamento,15000
Santo Amaro,338,4,3,Apartamento,15000
Santo Amaro,340,4,3,Apartamento,11250
Vila Santa Catarina,65,1,0,Studio e kitnet,2700
Santo Amaro,170,4,3,Apartamento,5600
Santo Amaro,180,3,2,Apartamento,5000
Santo Amaro,37,1,1,Studio e kitnet,3750
Santo Amaro,37,1,1,Apartamento,3750
Brooklin Paulista,150,2,1,Casa,3000
Santo Amaro,185,4,1,Apartamento,8250
Santo Amaro,157,3,2,Apartamento,4220
Santo Amaro,147,3,1,Apartamento,5286
Campo Belo,498,3,6,Casa,8430
Santo Amaro,70,1,1,Apartamento,4400
Jardim Novo Santo Amaro,74,2,2,Apartamento,6000
Santo Amaro,320,3,3,Apartamento,11000
Santo Amaro,280,4,3,Apartamento,8500
Santo Amaro,310,4,4,Apartamento,14000
Santo Amaro,299,4,3,Apartamento,10000
Parque Colonial,154,3,3,Apartamento,13500
Jardim Prudência,60,2,1,Apartamento,3330
Santo Amaro,330,3,3,Apartamento,12000
Campo Belo,370,4,5,Casa,15000
Santo Amaro,305,4,4,Apartamento,14530
Santo Amaro,216,3,4,Apartamento,6000
Parque Colonial,140,3,1,Casa,4200
Campo Belo,300,5,4,Casa,13000
Campo Belo,163,3,2,Casa,5250
Vila São Paulo,69,2,1,Apartamento,1990
Chácara Santo Antônio (zona Sul),180,3,2,Casa,7600
Campo Belo,159,3,2,Apartamento,6400
Campo Belo,260,4,4,Apartamento,11900
Santo Amaro,464,4,5,Casa,12000
Jardim Santo Antoninho,500,3,3,Casa,7875
Campo Belo,350,4,3,Casa,15000
Jardim Paulista,180,3,1,Apartamento,15000
Jardim Paulista,122,2,0,Apartamento,3200
Jardim Paulista,200,5,3,Casa,8000
Jardim Paulista,278,4,3,Apartamento,13000
Jardim Paulista,383,3,3,Apartamento,8000
Jardim Paulista,220,3,2,Apartamento,9500
Jardim Paulista,126,3,1,Apartamento,10300
Paraíso,147,3,2,Apartamento,9500
Paraíso,128,3,2,Apartamento,6600
Paraíso,120,3,2,Apartamento,6700
Paraíso,124,3,2,Apartamento,7000
Jardim Paulista,170,4,2,Apartamento,9300
Paraíso,30,1,0,Studio e kitnet,3600
Jardim Paulista,103,3,1,Apartamento,11000
Paraíso,30,1,1,Studio e kitnet,3300
Jardim Paulista,146,3,1,Apartamento,4020
Paraíso,28,1,1,Studio e kitnet,2000
Jardim Paulista,120,3,2,Apartamento,4220
Jardim Paulista,129,2,1,Apartamento,7500
Jardim Paulista,100,3,1,Apartamento,4000
Jardim Paulista,112,2,3,Apartamento,12800
Paraíso,112,2,1,Apartamento,5500
Paraíso,242,4,2,Casa,15000
Jardim Paulista,150,3,1,Apartamento,9442
Jardim Paulista,150,3,2,Apartamento,7250
Jardim Paulista,140,3,1,Apartamento,8000
Jardim Paulista,170,3,1,Apartamento,6112
Jardim Paulista,100,3,0,Apartamento,4350
Paraíso,161,3,1,Apartamento,3506
Paraíso,190,4,1,Apartamento,4500
Jardim Paulista,149,3,1,Apartamento,6100
Jardim Paulista,170,2,2,Apartamento,7000
Jardim Paulista,179,3,1,Apartamento,14000
Jardim Paulista,120,3,1,Apartamento,5000
Paraíso,157,3,1,Apartamento,5500
Jardim Paulista,150,3,1,Apartamento,5500
Jardim Paulista,95,3,1,Apartamento,5180
Jardim Paulista,69,2,1,Apartamento,4000
Jardim Paulista,105,3,1,Apartamento,3560
Jardim Paulista,200,3,3,Apartamento,15000
Jardim Paulista,170,3,1,Apartamento,9750
Jardim Paulista,195,3,2,Apartamento,12500
Jardim Paulista,30,1,1,Studio e kitnet,2400
Jardim Paulista,30,1,1,Apartamento,2500
Jardins,100,3,2,Apartamento,5160
Jardim Paulista,200,4,3,Casa,11500
Jardim Paulista,158,3,2,Apartamento,7750
Pinheiros,55,1,2,Apartamento,3600
Jardim Paulista,50,1,1,Apartamento,7200
Jardim Paulista,172,3,1,Apartamento,6562
Jardim Paulista,173,3,1,Apartamento,6800
Jardim Paulista,59,2,2,Apartamento,5200
Jardim Paulista,30,2,1,Apartamento,3300
Jardim Paulista,35,1,1,Apartamento,7000
Jardim Paulista,60,1,1,Apartamento,5000
Centro,78,3,2,Apartamento,2800
Brooklin,70,3,1,Casa,2194
Moema,152,3,1,Apartamento,5000
Chácara Inglesa,134,3,1,Apartamento,4500
Campo Belo,250,4,4,Apartamento,15000
Campo Belo,233,4,4,Apartamento,7960
Indianópolis,170,4,2,Apartamento,13200
Vila Nova Conceição,151,3,2,Apartamento,7600
Vila Mariana,179,3,2,Apartamento,8000
Vila Uberabinha,240,3,3,Apartamento,11030
Bosque da Saúde,87,3,2,Apartamento,5950
Planalto Paulista,100,4,2,Apartamento,7300
Brooklin Paulista,127,3,2,Apartamento,9200
Vila Clementino,130,3,2,Apartamento,4700
Jabaquara,21,1,1,Studio e kitnet,1450
Mirandópolis,170,4,2,Casa,4100
Vila Clementino,140,4,2,Apartamento,13000
Vila Olímpia,110,3,1,Apartamento,4600
Vila Clementino,234,4,4,Apartamento,6000
Indianópolis,112,3,3,Apartamento,8000
Planalto Paulista,367,6,4,Casa,9000
Vila Uberabinha,141,0,0,Casa,7000
Cidade Monções,180,3,2,Apartamento,9000
Campo Belo,110,2,1,Casa,4900
Campo Belo,200,3,3,Apartamento,9500
Cidade Monções,400,3,4,Casa,8000
Vila Clementino,135,3,2,Apartamento,4000
Vila Mariana,146,3,2,Apartamento,4000
Campo Belo,201,3,5,Apartamento,15000
Vila Clementino,90,2,1,Apartamento,3200
Indianópolis,240,4,3,Apartamento,9200
Mirandópolis,280,3,4,Apartamento,7200
Brooklin Paulista,109,2,1,Apartamento,4600
Mirandópolis,336,4,3,Casa,10000
Campo Belo,136,3,2,Apartamento,4000
Vila Mariana,115,3,4,Apartamento,4560
Brooklin Paulista,108,2,1,Apartamento,4600
Planalto Paulista,157,3,3,Casa,7200
Indianópolis,305,4,4,Apartamento,9500
Vila Monte Alegre,320,4,4,Casa,6000
Vila Olímpia,110,3,1,Apartamento,3702
Campo Belo,200,0,4,Casa,12500
Moema,180,4,2,Apartamento,12000
Cidade Monções,230,3,4,Apartamento,15000
Planalto Paulista,220,4,3,Apartamento,15000
Jardim Vila Mariana,117,3,2,Apartamento,4280
Vila do Bosque,183,3,2,Casa,3760
Campo Belo,150,3,2,Casa,4200
Jardim das Acácias,150,3,1,Casa,5000
Vila Clementino,96,3,2,Apartamento,4000
Planalto Paulista,69,2,1,Apartamento,4500
Mirandópolis,138,3,2,Apartamento,8000
Campo Belo,311,4,6,Apartamento,15000
Vila Uberabinha,82,2,1,Apartamento,3700
Cidade Monções,105,2,2,Apartamento,10230
Cidade Monções,100,3,2,Apartamento,6000
Vila Olímpia,96,3,2,Apartamento,9900
Vila Cordeiro,160,3,2,Apartamento,6500
Campo Belo,155,3,3,Apartamento,13000
Indianópolis,119,3,1,Apartamento,5160
Vila Uberabinha,130,3,2,Apartamento,7500
Indianópolis,142,2,2,Apartamento,9500
Cidade Monções,116,3,2,Apartamento,7200
Campo Belo,180,4,3,Apartamento,12700
Jardim das Acacias,103,3,2,Apartamento,7000
Brooklin Paulista,119,3,2,Apartamento,9000
Campo Belo,72,2,1,Apartamento,3400
